16:05:14 | asyncio                   | DEBUG   | Using selector: KqueueSelector
16:05:14 | runner                    | INFO    | ============================================================
16:05:14 | runner                    | INFO    | Starting scrape run
16:05:14 | runner                    | INFO    |   Locations:   1
16:05:14 | runner                    | INFO    |   Platforms:   rappi
16:05:14 | runner                    | INFO    |   Restaurants: McDonald's, Burger King
16:05:14 | runner                    | INFO    |   Total combinations: 2
16:05:14 | runner                    | INFO    | ============================================================
16:05:14 | runner                    | INFO    | 
────────────────────────────────────────
16:05:14 | runner                    | INFO    | Platform: RAPPI
16:05:14 | runner                    | INFO    | ────────────────────────────────────────
16:05:15 | scraper.rappi             | INFO    | Starting Rappi browser
16:05:15 | scraper.anti_detection    | INFO    | Stealth browser ready — UA: Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:133.0) Gecko/20...
16:05:15 | scraper.rappi             | INFO    | Rappi browser ready
16:05:15 | runner                    | INFO    | 
📍 Location: Polanco V Sección, Miguel Hidalgo (high_income)
16:05:15 | runner                    | INFO    |   🏪 McDonald's — 3 products
16:05:15 | scraper.rappi             | INFO    | Setting location: Polanco V Sección, Miguel Hidalgo
16:05:15 | scraper.rappi             | INFO    | Geolocation set: (19.4326, -99.1942) for Polanco V Sección, Miguel Hidalgo
16:05:15 | scraper.rappi             | INFO    | Navigating to https://www.rappi.com.mx
16:05:16 | scraper.anti_detection    | DEBUG   | Waiting 2.8s
16:05:18 | scraper.rappi             | DEBUG   | Captured API response: https://services.mxgrability.rappi.com/api/restaurant-bus/stores/catalog-paged/h
16:05:18 | scraper.rappi             | DEBUG   | Captured API response: https://services.mxgrability.rappi.com/api/pns-global-search-api/v1/unified-rece
16:05:18 | scraper.rappi             | DEBUG   | Captured API response: https://services.mxgrability.rappi.com/api/pns-global-search-api/v1/unified-rece
16:05:42 | scraper.rappi             | WARNING | No address input found on Rappi
16:05:42 | scraper.rappi             | WARNING | Could not set address on Rappi — proceeding with default location
16:05:42 | scraper.rappi             | INFO    | Page has restaurant content — using default location
16:05:42 | scraper.rappi             | INFO    | Searching for: McDonald's
16:05:51 | scraper.anti_detection    | DEBUG   | Waiting 1.7s
16:05:52 | scraper.rappi             | DEBUG   | Captured API response: https://services.mxgrability.rappi.com/api/pns-global-search-api/v1/unified-sugg
16:05:54 | scraper.rappi             | DEBUG   | Selector 'a[data-qa*="store"]' found 3 cards: ['mcdonalds postres', 'App StoreApp Store', 'AppGalleryAppGallery']
16:05:54 | scraper.rappi             | WARNING | Best match 'mcdonalds postres' looks like a sub-category store (no main branch found). Proceeding anyway — product matches may fail.
16:05:54 | scraper.anti_detection    | DEBUG   | Waiting 2.2s
16:05:55 | scraper.rappi             | DEBUG   | Captured API response: https://services.mxgrability.rappi.com/api/pns-global-search-api/v1/unified-rece
16:05:56 | scraper.rappi             | INFO    | Extracting delivery info
16:05:56 | scraper.rappi             | INFO    | Delivery: fee=0.0, time=12-12 min
16:05:56 | scraper.rappi             | INFO    | Looking for product: Big Mac
16:05:58 | scraper.rappi             | DEBUG   | Found 13 items with '[data-qa*="product-item"]'
16:05:58 | scraper.rappi             | INFO    | Looking for product: Combo Big Mac Mediano
16:05:59 | scraper.rappi             | DEBUG   | Found 13 items with '[data-qa*="product-item"]'
16:05:59 | scraper.rappi             | INFO    | Looking for product: McNuggets 10 piezas
16:06:01 | scraper.rappi             | DEBUG   | Found 13 items with '[data-qa*="product-item"]'
