16:27:03 | asyncio                   | DEBUG   | Using selector: KqueueSelector
16:27:03 | runner                    | INFO    | ============================================================
16:27:03 | runner                    | INFO    | Starting scrape run
16:27:03 | runner                    | INFO    |   Locations:   25
16:27:03 | runner                    | INFO    |   Platforms:   ubereats, rappi
16:27:03 | runner                    | INFO    |   Restaurants: McDonald's, Burger King
16:27:03 | runner                    | INFO    |   Total combinations: 100
16:27:03 | runner                    | INFO    | ============================================================
16:27:03 | runner                    | INFO    | 
────────────────────────────────────────
16:27:03 | runner                    | INFO    | Platform: UBEREATS
16:27:03 | runner                    | INFO    | ────────────────────────────────────────
16:27:03 | scraper.ubereats          | INFO    | Starting Uber Eats browser
16:27:03 | scraper.anti_detection    | INFO    | Stealth browser ready — UA: Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, l...
16:27:03 | scraper.ubereats          | INFO    | Uber Eats browser ready
16:27:03 | runner                    | INFO    | 
📍 Location: Polanco V Sección, Miguel Hidalgo (high_income)
16:27:03 | runner                    | INFO    |   🏪 McDonald's — 3 products
16:27:03 | scraper.ubereats          | INFO    | Setting location: Polanco V Sección, Miguel Hidalgo
16:27:03 | scraper.ubereats          | INFO    | Geolocation set: (19.4326, -99.1942) for Polanco V Sección, Miguel Hidalgo
16:27:03 | scraper.ubereats          | INFO    | Navigating to https://www.ubereats.com/mx/feed
16:27:06 | scraper.anti_detection    | DEBUG   | Waiting 3.9s
16:27:15 | scraper.ubereats          | DEBUG   | Found address input with selector: input[placeholder*="dirección"]
16:27:22 | scraper.anti_detection    | DEBUG   | Waiting 1.6s
16:27:24 | scraper.anti_detection    | DEBUG   | Waiting 2.7s
16:27:26 | scraper.ubereats          | INFO    | Location set: Polanco V Sección, Miguel Hidalgo
16:27:26 | scraper.ubereats          | INFO    | Searching for: McDonald's
16:27:26 | scraper.ubereats          | INFO    | Searching: https://www.ubereats.com/mx/search?q=McDonald's
16:27:30 | scraper.anti_detection    | DEBUG   | Waiting 2.3s
16:27:34 | scraper.ubereats          | INFO    | Found 79 store cards
16:27:34 | scraper.ubereats          | DEBUG   | Skipped lower-ranked cards: ["McDonald's Dummy Oaxaca", "Despierta con McDonald's (Lomas Plaza)", "Pollos de McDonald's Antara", "Postres x McDonald's  (McDonald's Antara)"]
16:27:34 | scraper.ubereats          | INFO    | Matched restaurant card: McDonald's Antara
16:27:37 | scraper.anti_detection    | DEBUG   | Waiting 2.2s
16:27:39 | scraper.ubereats          | INFO    | Restaurant info: name=McDonald's Antara, rating=4.5, reviews=15000
16:27:39 | scraper.ubereats          | INFO    | Extracting delivery info
16:27:39 | scraper.ubereats          | INFO    | Delivery info: fee=0.0, time=24-44 min
16:27:39 | scraper.ubereats          | INFO    | Looking for product: Big Mac
16:27:39 | scraper.ubereats          | DEBUG   | Found 95 items with 'li[data-testid^="store-item-"]'
16:27:39 | scraper.ubereats          | INFO    | Product match: 'Home Office con Big Mac' → $99.0 (looking for Big Mac)
16:27:39 | scraper.ubereats          | INFO    | Looking for product: Combo Big Mac Mediano
